verdict	reason	authoritative	engineSource	resolvedName	resolvedTarget	path
kept	-	auth-kept	program-files	Windows App Certification Kit	C:\Program Files (x86)\Windows Kits\10\App Certification Kit\appcertui.exe	C:\Program Files (x86)\Windows Kits\10\App Certification Kit\appcertui.exe
kept	-	auth-kept	start-menu	VMware Workstation 17 Player	C:\Program Files (x86)\VMware\VMware Workstation\vmplayer.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VMware\VMware Workstation 17 Player.lnk
kept	-	auth-kept	program-files	gpgol-client	C:\Program Files\Gpg4win\bin\gpgol-client.exe	C:\Program Files\Gpg4win\bin\gpgol-client.exe
filtered	2-excluded-name	auth-filtered	program-files	Epic Online Services Install Helper	C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServicesInstallHelper.exe	C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServicesInstallHelper.exe
filtered	2-excluded-name	auth-filtered	program-files	Visual Studio Installer	C:\Program Files (x86)\Microsoft Visual Studio\Installer\vs_installer.exe	C:\Program Files (x86)\Microsoft Visual Studio\Installer\vs_installer.exe
kept	-	auth-kept	start-menu	Launcher for all Omniverse applications.	C:\Program Files\NVIDIA Corporation\NVIDIA Omniverse Launcher\NVIDIA Omniverse Launcher.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\NVIDIA Corporation\NVIDIA Omniverse Launcher.lnk
kept	-	auth-kept	program-files	factor	D:\Program Files\Git\usr\bin\factor.exe	D:\Program Files\Git\usr\bin\factor.exe
kept	-	auth-kept	program-files	AsusScreenXpertToast	C:\Program Files\ASUS\AsusScreenXpert\Arm\AsusScreenXpertToast.exe	C:\Program Files\ASUS\AsusScreenXpert\Arm\AsusScreenXpertToast.exe
kept	-	auth-kept	program-files	chown	D:\Program Files\Git\usr\bin\chown.exe	D:\Program Files\Git\usr\bin\chown.exe
kept	-	auth-kept	program-files	c4dpy	C:\Program Files\Maxon Cinema 4D 2024\c4dpy.exe	C:\Program Files\Maxon Cinema 4D 2024\c4dpy.exe
